0,0; 1,775; 100,1; 3,108; 100,0; 3,121; 100,1; 0,000; 0,0
0,1; 1,772; 100,1; 3,108; 100,0; 3,122; 100,1; 0,000; 0,0
0,2; 1,772; 100,1; 3,108; 100,0; 3,123; 100,1; 0,000; 0,0
0,3; 1,772; 100,1; 3,108; 100,0; 3,124; 100,1; 0,000; 0,0
0,4; 1,772; 100,1; 3,108; 100,0; 3,124; 100,1; 0,000; 0,0
0,5; 1,771; 100,1; 3,108; 100,0; 3,124; 100,1; 0,000; 0,0
0,6; 1,772; 100,1; 3,108; 100,0; 3,124; 100,1; 0,000; 0,0
0,7; 1,772; 100,1; 3,108; 100,0; 3,124; 100,1; 0,000; 0,0
0,8; 1,771; 100,1; 3,108; 100,0; 3,124; 100,1; 0,000; 0,0
0,9; 1,768; 100,1; 3,108; 100,0; 3,124; 100,1; 0,000; 0,0
1,0; 1,768; 100,1; 3,108; 100,0; 3,124; 100,1; 0,000; 0,0
1,1; 1,768; 100,1; 3,108; 100,0; 3,124; 100,1; 0,000; 0,0
1,2; 3,208; 0,0; 3,512; 0,0; 3,535; 0,0; 0,000; 0,0
1,3; 3,425; 0,0; 3,526; 0,0; 3,546; 0,0; 0,000; 0,0
1,4; 3,485; 0,0; 3,534; 0,0; 3,552; 0,0; 0,000; 0,0
1,5; 3,499; 0,0; 3,536; 0,0; 3,556; 0,0; 0,000; 0,0
1,6; 3,517; 0,0; 3,541; 0,0; 3,560; 0,0; 0,000; 0,0
1,7; 3,527; 0,0; 3,545; 0,0; 3,564; 0,0; 0,000; 0,0
1,8; 3,536; 0,0; 3,548; 0,0; 3,568; 0,0; 0,000; 0,0
1,9; 3,540; 0,0; 3,552; 0,0; 3,568; 0,0; 0,000; 0,0
2,0; 3,545; 0,0; 3,554; 0,0; 3,572; 0,0; 0,000; 0,0
2,1; 3,548; 0,0; 3,556; 0,0; 3,572; 0,0; 0,000; 0,0
2,2; 3,285; 9,8; 3,512; 9,8; 3,527; 9,8; 0,000; 0,0
2,3; 3,280; 9,8; 3,512; 9,8; 3,527; 9,8; 0,000; 0,0
2,4; 3,280; 9,8; 3,512; 9,8; 3,528; 9,9; 0,000; 0,0
2,5; 3,280; 9,8; 3,512; 9,8; 3,528; 9,8; 0,000; 0,0
2,6; 3,280; 9,8; 3,512; 9,8; 3,528; 9,9; 0,000; 0,0
2,7; 3,280; 9,8; 3,512; 9,8; 3,528; 9,8; 0,000; 0,0
2,8; 3,280; 9,8; 3,513; 9,8; 3,528; 9,8; 0,000; 0,0
2,9; 3,280; 9,8; 3,515; 9,8; 3,528; 9,9; 0,000; 0,0
3,0; 3,280; 9,8; 3,516; 9,8; 3,528; 9,8; 0,000; 0,0
3,1; 3,137; 16,5; 3,486; 16,8; 3,498; 16,8; 0,000; 0,0
3,2; 3,039; 19,9; 3,471; 19,9; 3,484; 19,9; 0,000; 0,0
3,3; 3,032; 19,9; 3,468; 19,9; 3,483; 19,9; 0,000; 0,0
3,4; 3,028; 19,9; 3,468; 19,9; 3,482; 19,9; 0,000; 0,0
3,5; 3,028; 19,9; 3,468; 19,9; 3,480; 19,9; 0,000; 0,0
3,6; 3,028; 19,9; 3,468; 19,9; 3,480; 19,9; 0,000; 0,0
3,7; 3,028; 19,9; 3,468; 19,9; 3,480; 19,9; 0,000; 0,0
3,8; 3,026; 19,9; 3,468; 19,9; 3,480; 19,9; 0,000; 0,0
3,9; 3,025; 19,9; 3,468; 19,9; 3,480; 19,9; 0,000; 0,0
4,0; 3,024; 19,9; 3,468; 19,9; 3,480; 19,9; 0,000; 0,0
4,1; 2,926; 25,3; 3,444; 25,3; 3,456; 25,3; 0,000; 0,0
4,2; 2,817; 29,8; 3,423; 29,8; 3,436; 29,8; 0,000; 0,0
4,3; 2,814; 29,8; 3,421; 29,8; 3,435; 29,8; 0,000; 0,0
4,4; 2,812; 29,8; 3,420; 29,8; 3,432; 29,8; 0,000; 0,0
4,5; 2,808; 29,8; 3,420; 29,7; 3,432; 29,8; 0,000; 0,0
4,6; 2,808; 29,8; 3,420; 29,8; 3,432; 29,8; 0,000; 0,0
4,7; 2,807; 29,8; 3,419; 29,8; 3,432; 29,8; 0,000; 0,0
4,8; 2,805; 29,8; 3,419; 29,8; 3,431; 29,8; 0,000; 0,0
4,9; 2,804; 29,8; 3,417; 29,8; 3,432; 29,8; 0,000; 0,0
5,0; 2,804; 29,8; 3,416; 29,8; 3,431; 29,8; 0,000; 0,0
5,1; 2,742; 34,0; 3,399; 34,1; 3,413; 34,1; 0,000; 0,0
5,2; 2,622; 40,0; 3,372; 40,0; 3,384; 40,0; 0,000; 0,0
5,3; 2,616; 40,0; 3,372; 40,0; 3,384; 40,0; 0,000; 0,0
5,4; 2,615; 40,0; 3,371; 40,0; 3,384; 40,0; 0,000; 0,0
5,5; 2,612; 40,0; 3,368; 40,0; 3,382; 40,0; 0,000; 0,0
5,6; 2,608; 40,0; 3,368; 40,0; 3,380; 40,0; 0,000; 0,0
5,7; 2,608; 40,0; 3,368; 40,0; 3,380; 40,0; 0,000; 0,0
5,8; 2,608; 40,0; 3,368; 40,0; 3,380; 40,0; 0,000; 0,0
5,9; 2,608; 40,0; 3,367; 40,0; 3,380; 40,0; 0,000; 0,0
6,0; 2,606; 40,0; 3,367; 40,0; 3,380; 40,0; 0,000; 0,0
6,1; 2,569; 42,7; 3,356; 42,7; 3,368; 42,7; 0,000; 0,0
6,2; 2,445; 50,1; 3,324; 50,1; 3,336; 50,1; 0,000; 0,0
6,3; 2,439; 50,1; 3,320; 50,1; 3,335; 50,1; 0,000; 0,0
6,4; 2,436; 50,1; 3,320; 50,1; 3,332; 50,1; 0,000; 0,0
6,5; 2,434; 50,1; 3,320; 50,1; 3,332; 50,1; 0,000; 0,0
6,6; 2,432; 50,1; 3,320; 50,1; 3,332; 50,1; 0,000; 0,0
6,7; 2,431; 50,1; 3,320; 50,1; 3,332; 50,1; 0,000; 0,0
6,8; 2,428; 50,1; 3,318; 50,1; 3,332; 50,1; 0,000; 0,0
6,9; 2,428; 50,1; 3,317; 50,1; 3,332; 50,1; 0,000; 0,0
7,0; 2,428; 50,1; 3,316; 50,1; 3,332; 50,1; 0,000; 0,0
7,1; 2,411; 51,5; 3,311; 51,5; 3,326; 51,5; 0,000; 0,0
7,2; 2,287; 59,9; 3,276; 59,9; 3,288; 59,9; 0,000; 0,0
7,3; 2,280; 59,9; 3,275; 59,8; 3,288; 59,9; 0,000; 0,0
7,4; 2,277; 59,9; 3,275; 59,8; 3,288; 59,9; 0,000; 0,0
7,5; 2,275; 59,9; 3,272; 59,8; 3,288; 59,9; 0,000; 0,0
7,6; 2,274; 59,9; 3,272; 59,8; 3,288; 59,9; 0,000; 0,0
